institution,headline,score,reason
UBC,Langara College opens new Indigenous cultural centre,9.33,"Positive impact: funding, satisfaction, or growth."
UBC,Langara College opens new Indigenous cultural centre,7.29,"Positive impact: funding, satisfaction, or growth."
UBC,UBC receives $10M grant for AI research,8.77,"Positive impact: funding, satisfaction, or growth."
UBC,KPU union threatens strike over budget cuts,-4.28,"Negative impact: layoffs, deficit, or disruption."
UBC,Langara College reports $4M operating deficit,-7.73,"Negative impact: layoffs, deficit, or disruption."
UBC,Langara College reports $4M operating deficit,-8.9,"Negative impact: layoffs, deficit, or disruption."
SFU,SFU expands student housing with new residence,7.3,"Positive impact: funding, satisfaction, or growth."
SFU,UBC receives $10M grant for AI research,8.47,"Positive impact: funding, satisfaction, or growth."
SFU,Langara College opens new Indigenous cultural centre,7.06,"Positive impact: funding, satisfaction, or growth."
SFU,SFU announces layoffs due to funding shortfall,-8.15,"Negative impact: layoffs, deficit, or disruption."
SFU,UVic cyberattack disrupts student services,-4.92,"Negative impact: layoffs, deficit, or disruption."
SFU,SFU announces layoffs due to funding shortfall,-5.19,"Negative impact: layoffs, deficit, or disruption."
UVic,SFU expands student housing with new residence,9.22,"Positive impact: funding, satisfaction, or growth."
UVic,Langara College opens new Indigenous cultural centre,5.77,"Positive impact: funding, satisfaction, or growth."
UVic,KPU increases enrollment for sustainability programs,7.34,"Positive impact: funding, satisfaction, or growth."
UVic,UVic cyberattack disrupts student services,-6.3,"Negative impact: layoffs, deficit, or disruption."
UVic,UVic cyberattack disrupts student services,-4.08,"Negative impact: layoffs, deficit, or disruption."
UVic,UVic cyberattack disrupts student services,-8.7,"Negative impact: layoffs, deficit, or disruption."
KPU,Langara College opens new Indigenous cultural centre,9.12,"Positive impact: funding, satisfaction, or growth."
KPU,UBC receives $10M grant for AI research,7.3,"Positive impact: funding, satisfaction, or growth."
KPU,Langara College opens new Indigenous cultural centre,8.54,"Positive impact: funding, satisfaction, or growth."
KPU,UVic cyberattack disrupts student services,-8.5,"Negative impact: layoffs, deficit, or disruption."
KPU,Langara College reports $4M operating deficit,-3.45,"Negative impact: layoffs, deficit, or disruption."
KPU,SFU announces layoffs due to funding shortfall,-4.3,"Negative impact: layoffs, deficit, or disruption."
Langara,UBC receives $10M grant for AI research,6.08,"Positive impact: funding, satisfaction, or growth."
Langara,KPU increases enrollment for sustainability programs,6.31,"Positive impact: funding, satisfaction, or growth."
Langara,SFU expands student housing with new residence,7.9,"Positive impact: funding, satisfaction, or growth."
Langara,SFU announces layoffs due to funding shortfall,-3.09,"Negative impact: layoffs, deficit, or disruption."
Langara,Langara College reports $4M operating deficit,-3.83,"Negative impact: layoffs, deficit, or disruption."
Langara,Langara College reports $4M operating deficit,-7.73,"Negative impact: layoffs, deficit, or disruption."
